"entity_id","state","last_changed"
"sensor.sigen_consumed_power","0.589","2025-09-16 01:26:00.000Z"
"sensor.sigen_consumed_power","0.615","2025-09-16 01:27:00.000Z"
"sensor.sigen_consumed_power","0.627","2025-09-16 01:28:00.000Z"
"sensor.sigen_consumed_power","0.614","2025-09-16 01:29:00.000Z"
"sensor.sigen_consumed_power","0.643","2025-09-16 01:30:00.000Z"
"sensor.sigen_consumed_power","0.627","2025-09-16 01:31:00.000Z"
"sensor.sigen_consumed_power","0.635","2025-09-16 01:32:00.000Z"
"sensor.sigen_consumed_power","0.632","2025-09-16 01:33:00.000Z"
"sensor.sigen_consumed_power","0.641","2025-09-16 01:34:00.000Z"
"sensor.sigen_consumed_power","0.629","2025-09-16 01:35:00.000Z"
"sensor.sigen_consumed_power","0.634","2025-09-16 01:36:00.000Z"
"sensor.sigen_consumed_power","0.654","2025-09-16 01:37:00.000Z"
"sensor.sigen_consumed_power","0.636","2025-09-16 01:38:00.000Z"
"sensor.sigen_consumed_power","0.641","2025-09-16 01:39:00.000Z"
"sensor.sigen_consumed_power","0.72","2025-09-16 01:40:00.000Z"
"sensor.sigen_consumed_power","0.697","2025-09-16 01:41:00.000Z"
"sensor.sigen_consumed_power","0.639","2025-09-16 01:42:00.000Z"
"sensor.sigen_consumed_power","0.65","2025-09-16 01:43:00.000Z"
"sensor.sigen_consumed_power","0.65","2025-09-16 01:44:00.000Z"
"sensor.sigen_consumed_power","0.709","2025-09-16 01:45:00.000Z"
"sensor.sigen_consumed_power","0.733","2025-09-16 01:46:00.000Z"
"sensor.sigen_consumed_power","0.735","2025-09-16 01:47:00.000Z"
"sensor.sigen_consumed_power","0.749","2025-09-16 01:48:00.000Z"
"sensor.sigen_consumed_power","0.686","2025-09-16 01:49:00.000Z"
"sensor.sigen_consumed_power","0.698","2025-09-16 01:50:00.000Z"
"sensor.sigen_consumed_power","0.685","2025-09-16 01:51:00.000Z"
"sensor.sigen_consumed_power","0.688","2025-09-16 01:52:00.000Z"
"sensor.sigen_consumed_power","0.681","2025-09-16 01:53:00.000Z"
"sensor.sigen_consumed_power","0.692","2025-09-16 01:54:00.000Z"
"sensor.sigen_consumed_power","0.698","2025-09-16 01:55:00.000Z"
"sensor.sigen_consumed_power","0.74","2025-09-16 01:56:00.000Z"
"sensor.sigen_consumed_power","0.759","2025-09-16 01:57:00.000Z"
"sensor.sigen_consumed_power","0.69","2025-09-16 01:58:00.000Z"
"sensor.sigen_consumed_power","0.706","2025-09-16 01:59:00.000Z"
"sensor.sigen_consumed_power","0.68","2025-09-16 02:00:00.000Z"
"sensor.sigen_consumed_power","0.696","2025-09-16 02:01:00.000Z"
"sensor.sigen_consumed_power","0.684","2025-09-16 02:02:00.000Z"
"sensor.sigen_consumed_power","0.695","2025-09-16 02:03:00.000Z"
"sensor.sigen_consumed_power","0.682","2025-09-16 02:04:00.000Z"
"sensor.sigen_consumed_power","0.677","2025-09-16 02:05:00.000Z"
"sensor.sigen_consumed_power","0.679","2025-09-16 02:06:00.000Z"
"sensor.sigen_consumed_power","0.692","2025-09-16 02:07:00.000Z"
