"entity_id","state","last_changed"
"sensor.sigen_consumed_power","1.852","2025-05-04 14:00:00.000Z"
"sensor.sigen_consumed_power","2.694","2025-05-04 15:00:00.000Z"
"sensor.sigen_consumed_power","1.624","2025-05-04 16:00:00.000Z"
"sensor.sigen_consumed_power","2.751","2025-05-04 17:00:00.000Z"
"sensor.sigen_consumed_power","1.556","2025-05-04 18:00:00.000Z"
"sensor.sigen_consumed_power","3.183","2025-05-04 19:00:00.000Z"
"sensor.sigen_consumed_power","5.129","2025-05-04 20:00:00.000Z"
"sensor.sigen_consumed_power","5.223","2025-05-04 21:00:00.000Z"
"sensor.sigen_consumed_power","3.761","2025-05-04 22:00:00.000Z"
"sensor.sigen_consumed_power","2.937","2025-05-04 23:00:00.000Z"
"sensor.sigen_consumed_power","3.034","2025-05-05 00:00:00.000Z"
"sensor.sigen_consumed_power","4.051","2025-05-05 01:00:00.000Z"
"sensor.sigen_consumed_power","3.043","2025-05-05 02:00:00.000Z"
"sensor.sigen_consumed_power","4.418","2025-05-05 03:00:00.000Z"
"sensor.sigen_consumed_power","3.099","2025-05-05 04:00:00.000Z"
"sensor.sigen_consumed_power","4.63","2025-05-05 05:00:00.000Z"
"sensor.sigen_consumed_power","4.807","2025-05-05 06:00:00.000Z"
"sensor.sigen_consumed_power","7.008","2025-05-05 07:00:00.000Z"
"sensor.sigen_consumed_power","4.463","2025-05-05 08:00:00.000Z"
"sensor.sigen_consumed_power","2.705","2025-05-05 09:00:00.000Z"
"sensor.sigen_consumed_power","0.867","2025-05-05 10:00:00.000Z"
"sensor.sigen_consumed_power","0.686","2025-05-05 11:00:00.000Z"
"sensor.sigen_consumed_power","0.633","2025-05-05 12:00:00.000Z"
"sensor.sigen_consumed_power","0.749","2025-05-05 13:00:00.000Z"
"sensor.sigen_consumed_power","0.745","2025-05-05 14:00:00.000Z"
"sensor.sigen_consumed_power","0.993","2025-05-05 15:00:00.000Z"
"sensor.sigen_consumed_power","4.882","2025-05-05 16:00:00.000Z"
"sensor.sigen_consumed_power","2.528","2025-05-05 17:00:00.000Z"
"sensor.sigen_consumed_power","2.119","2025-05-05 18:00:00.000Z"
"sensor.sigen_consumed_power","3.637","2025-05-05 19:00:00.000Z"
"sensor.sigen_consumed_power","6.165","2025-05-05 20:00:00.000Z"
"sensor.sigen_consumed_power","6.035","2025-05-05 21:00:00.000Z"
"sensor.sigen_consumed_power","4.451","2025-05-05 22:00:00.000Z"
"sensor.sigen_consumed_power","2.914","2025-05-05 23:00:00.000Z"
"sensor.sigen_consumed_power","2.768","2025-05-06 00:00:00.000Z"
"sensor.sigen_consumed_power","3.918","2025-05-06 01:00:00.000Z"
"sensor.sigen_consumed_power","3.407","2025-05-06 02:00:00.000Z"
"sensor.sigen_consumed_power","2.236","2025-05-06 03:00:00.000Z"
"sensor.sigen_consumed_power","2.493","2025-05-06 04:00:00.000Z"
"sensor.sigen_consumed_power","1.442","2025-05-06 05:00:00.000Z"
"sensor.sigen_consumed_power","6.492","2025-05-06 06:00:00.000Z"
"sensor.sigen_consumed_power","7.779","2025-05-06 07:00:00.000Z"
"sensor.sigen_consumed_power","4.127","2025-05-06 08:00:00.000Z"
"sensor.sigen_consumed_power","2.78","2025-05-06 09:00:00.000Z"
"sensor.sigen_consumed_power","0.837","2025-05-06 10:00:00.000Z"
"sensor.sigen_consumed_power","0.736","2025-05-06 11:00:00.000Z"
"sensor.sigen_consumed_power","0.666","2025-05-06 12:00:00.000Z"
"sensor.sigen_consumed_power","0.824","2025-05-06 13:00:00.000Z"
"sensor.sigen_consumed_power","0.873","2025-05-06 14:00:00.000Z"
"sensor.sigen_consumed_power","4.007","2025-05-06 15:00:00.000Z"
"sensor.sigen_consumed_power","2.541","2025-05-06 16:00:00.000Z"
"sensor.sigen_consumed_power","2.106","2025-05-06 17:00:00.000Z"
"sensor.sigen_consumed_power","3.845","2025-05-06 18:00:00.000Z"
"sensor.sigen_consumed_power","1.279","2025-05-06 19:00:00.000Z"
"sensor.sigen_consumed_power","3.555","2025-05-06 20:00:00.000Z"
"sensor.sigen_consumed_power","5.963","2025-05-06 21:00:00.000Z"
"sensor.sigen_consumed_power","7.304","2025-05-06 22:00:00.000Z"
"sensor.sigen_consumed_power","5.14","2025-05-06 23:00:00.000Z"
"sensor.sigen_consumed_power","4.154","2025-05-07 00:00:00.000Z"
"sensor.sigen_consumed_power","2.877","2025-05-07 01:00:00.000Z"
"sensor.sigen_consumed_power","2.585","2025-05-07 02:00:00.000Z"
"sensor.sigen_consumed_power","2.366","2025-05-07 03:00:00.000Z"
"sensor.sigen_consumed_power","0.719","2025-05-07 04:00:00.000Z"
"sensor.sigen_consumed_power","0.928","2025-05-07 05:00:00.000Z"
"sensor.sigen_consumed_power","3.888","2025-05-07 06:00:00.000Z"
"sensor.sigen_consumed_power","1.953","2025-05-07 07:00:00.000Z"
"sensor.sigen_consumed_power","2.733","2025-05-07 08:00:00.000Z"
"sensor.sigen_consumed_power","2.482","2025-05-07 09:00:00.000Z"
"sensor.sigen_consumed_power","1.984","2025-05-07 10:00:00.000Z"
"sensor.sigen_consumed_power","1.38","2025-05-07 11:00:00.000Z"
